feature,importance
calories_daily,0.1336812441370427
resting_heart_rate,0.11812829900080764
hr_std,0.11045703689092282
hr_mean,0.10241504318189185
steps_daily,0.09350167654239795
hr_max,0.08924894542358952
hr_min,0.07974929590165428
mood,0.07781561386340852
sleep_efficiency,0.06944019650688421
time_in_bed,0.06571943074818329
sleep_minutes,0.059843217803217295
